,Location,Population,% of world,Date,Source (official or from the United Nations),Notes
0,World,8232000000.0,100%,13 Jun 2025,UN projection[1][3],
1,India,1429404000.0,17.3%,1 Jul 2026,Official projection[4],[b]
2,China,1404890000.0,17.0%,31 Dec 2025,Official estimate[5],[c]
3,United States,341784857.0,4.1%,1 Jul 2025,Official estimate[6],[d]
4,Indonesia,288315089.0,3.5%,31 Dec 2025,National annual projection[7],
5,Pakistan,241499431.0,2.9%,1 Mar 2023,2023 census result[8],[e]
6,Nigeria,223800000.0,2.7%,1 Jul 2023,Official projection[9],
7,Brazil,213421037.0,2.6%,1 Jul 2025,Official estimate[10],
8,Bangladesh,169828911.0,2.1%,14 Jun 2022,2022 census result[11],[f]
9,Russia,146028325.0,1.8%,1 Jan 2025,Official estimate[13],[g]
10,Mexico,131150866.0,1.6%,31 Mar 2026,National quarterly estimate[14],
11,Japan,122850000.0,1.5%,1 Jun 2026,Monthly national estimate[15],
12,Philippines,114123600.0,1.4%,1 Jul 2025,Official projection[16],
13,Democratic Republic of the Congo,112832000.0,1.4%,1 Jul 2025,UN projection[17],
14,Ethiopia,111652998.0,1.4%,1 Jul 2025,National annual projection[18],
15,Egypt,108613296.0,1.3%,1 Jan 2026,Official estimate[19],
16,Vietnam,102300000.0,1.2%,31 Dec 2025,Official estimate[20],
17,Iran,87134000.0,1.1%,21 Mar 2026,Official estimate[21],
18,Turkey,86092168.0,1.0%,31 Dec 2025,Official estimate[22],
19,Germany,83467117.0,1.0%,31 Dec 2025,National quarterly estimate[23],
20,United Kingdom,69487000.0,0.8%,30 Jun 2025,Official estimate[24],[h]
21,France,69081996.0,0.8%,1 Jan 2026,Yearly national estimate[25],[i]
22,Tanzania,68153004.0,0.8%,1 Jul 2025,Official projection[26],[j]
23,Thailand,65706765.0,0.8%,30 Jun 2026,Monthly national estimate[27],
24,South Africa,63100945.0,0.8%,30 Jun 2025,Official estimate[28],
25,Italy,58936123.0,0.7%,31 Mar 2026,Monthly national estimate[29],
26,Kenya,53330978.0,0.6%,1 Jul 2025,Official projection[30],
27,Colombia,53057212.0,0.6%,1 Jan 2025,Official projection[31],
28,Sudan,51662000.0,0.6%,1 Jul 2025,UN projection[32],
29,Myanmar,51375327.0,0.6%,15 Oct 2024,2024 census result[33],[k]
30,South Korea,51097986.0,0.6%,2 Jul 2026,Monthly national estimate[35],
31,Spain,49687120.0,0.6%,1 Apr 2026,National quarterly estimate[36],
32,Algeria,47400000.0,0.6%,1 Jan 2025,National annual projection[37],
33,Argentina,46387098.0,0.6%,1 Jul 2025,National annual projection[38],
34,Iraq,46118793.0,0.6%,21 Nov 2024,2024 census result[39],
35,Uganda,45905417.0,0.6%,10 May 2024,2024 census result[40],
36,Afghanistan,43844000.0,0.5%,1 Jul 2025,UN projection[41][42] (see note),[l]
37,Canada,41417056.0,0.5%,1 Apr 2026,National quarterly estimate[49],
38,Uzbekistan,39047321.0,0.5%,15 Jan 2026,2026 census result[50],
39,Angola,38778554.0,0.5%,1 Jan 2026,National estimate[51],
40,Poland,37281000.0,0.5%,31 Mar 2026,Monthly national estimate[52],
41,Morocco,36828330.0,0.4%,1 Sep 2024,2024 census result[53],[m]
42,Saudi Arabia,35300280.0,0.4%,1 Jul 2024,Official estimate[54],
43,Malaysia,34374300.0,0.4%,31 Mar 2026,National quarterly estimate[55],
44,Peru,34350244.0,0.4%,1 Jul 2025,National annual projection[56],
45,Mozambique,34090466.0,0.4%,1 Jul 2025,National annual projection[57],
46,Ghana,33742380.0,0.4%,1 Jul 2025,National annual projection[58],
47,Yemen,32684503.0,0.4%,1 Jul 2023,Official estimate[59],
48,Ivory Coast,32494020.0,0.4%,31 Dec 2025,National annual projection[60],
49,Madagascar,31727042.0,0.4%,1 Jul 2025,National annual projection[61],
50,Nepal,29911840.0,0.4%,25 Nov 2025,National annual projection[62],
51,Cameroon,29442327.0,0.4%,1 Jul 2025,National annual projection[63],
52,Ukraine,28700000.0,0.3%,1 Sep 2025,State migration service[64],[n]
53,Venezuela,28517000.0,0.3%,1 Jul 2025,UN projection[65],
54,Australia,27801023.0,0.3%,31 Dec 2025,Official projection[66],[o]
55,Niger,27522750.0,0.3%,1 Jul 2025,National annual projection[67],
56,Syria,26472497.0,0.3%,1 Jul 2026,Monthly estimate[68],
57,North Korea,25950000.0,0.3%,1 Jul 2024,National annual projection[69],
58,Burkina Faso,24070553.0,0.3%,1 Jul 2025,Official projection[70],
59,Taiwan,23243565.0,0.3%,31 Jun 2026,Official estimate[71],[p]
60,Mali,22395489.0,0.3%,15 Jun 2022,2022 census result[72],
61,Sri Lanka,21781800.0,0.3%,19 Dec 2024,2024 census result[73],
62,Malawi,20734262.0,0.3%,1 Jul 2025,National annual projection[74],
63,Kazakhstan,20575979.0,0.2%,1 Jun 2026,Official estimate[75],
64,Chile,20206953.0,0.2%,30 Jun 2025,National annual projection[76],
65,Chad,20031602.0,0.2%,1 Jul 2026,National annual projection[77],
66,Zambia,19693423.0,0.2%,8 Sep 2022,2022 census result[78],
67,Somalia,19655000.0,0.2%,1 Jul 2025,UN projection[32],[q]
68,Senegal,19075959.0,0.2%,1 Jul 2025,National annual projection[79],
69,Romania,19036031.0,0.2%,1 Jan 2025,Official estimate[80],
70,Guatemala,18312373.0,0.2%,1 Jul 2026,National annual projection[81],
71,Netherlands,18151406.0,0.2%,30 May 2026,Official estimate[82],[r]
72,Ecuador,18103660.0,0.2%,1 Jul 2025,National annual projection[83],
73,Cambodia,17577760.0,0.2%,1 Jul 2025,Official projection[84],
74,Guinea,17521167.0,0.2%,1 Jul 2025,Census July 2025[85],
75,Zimbabwe,17073087.0,0.2%,1 Jul 2025,Official projection[86],
76,South Sudan,15786898.0,0.2%,1 Jul 2025,National annual projection[87],
77,Rwanda,14418145.0,0.2%,1 Jul 2026,National annual projection[88],
78,Benin,13224860.0,0.2%,1 Jul 2025,National annual projection[89],
79,Burundi,12332788.0,0.1%,16 Aug 2024,Preliminary census result[90],
80,Tunisia,11972169.0,0.1%,6 Nov 2024,2024 census result[91],
81,Jordan,11937000.0,0.1%,31 Dec 2025,National estimate[92],
82,Belgium,11936546.0,0.1%,1 Apr 2026,Official estimate[93],
83,Haiti,11867032.0,0.1%,1 Jul 2024,National annual projection[94],
84,Portugal,11424031.0,0.1%,31 Dec 2025,Official estimate[95],
85,Bolivia,11365333.0,0.1%,23 Mar 2024,2024 census result[96],
86,United Arab Emirates,11294243.0,0.1%,31 Dec 2024,Official estimate[97],
87,Czech Republic,10896003.0,0.1%,31 Mar 2026,Official estimate[98],
88,Dominican Republic,10771504.0,0.1%,10 Nov 2022,2022 census result[99],
89,Tajikistan,10721000.0,0.1%,1 Jan 2026,Official estimate[100],
90,Sweden,10608128.0,0.1%,30 May 2026,Monthly national estimate[101],
91,Greece,10372335.0,0.1%,1 Jan 2025,Official estimate[102],
92,Azerbaijan,10266627.0,0.1%,1 Mar 2026,Monthly national estimate[103],
93,Israel,10252800.0,0.1%,31 May 2026,Monthly national estimate[104],[s]
94,Honduras,10186738.0,0.1%,1 Jul 2026,National annual projection[105],
95,Papua New Guinea,10185363.0,0.1%,16 Jun 2024,2024 census result[106],
96,Cuba,9748007.0,0.1%,31 Dec 2024,Official estimate[107],
97,Hungary,9489000.0,0.1%,1 Jan 2026,Official estimate[108],
98,Austria,9220882.0,0.1%,1 Apr 2026,National quarterly estimate[109],
99,Switzerland,9139676.0,0.1%,31 Mar 2026,National quarterly estimate[110],
100,Sierra Leone,9077691.0,0.1%,1 Jul 2025,National annual projection[111],
101,Belarus,9056080.0,0.1%,1 Jan 2026,Official estimate[112],
102,Togo,8095498.0,0.10%,8 Nov 2022,2022 census result[113],
103,Laos,7745000.0,0.09%,1 Jul 2025,National annual projection[114],
104,Hong Kong (China),7510800.0,0.09%,31 Dec 2025,National estimate[115],
105,Libya,7459000.0,0.09%,1 Jul 2025,UN projection[116],
106,Kyrgyzstan,7404300.0,0.09%,1 Jan 2026,Monthly national estimate[117],
